category,basename,title
cloud-overview,cloud-overview,Cloud Overview
data-services,data-services,Data Services
ecommerce,ecommerce,Ecommerce
email-hosting,email-hosting,Email Hosting
managed-security-services-and-compliance,managed-security-services-and-compliance,Managed Security Services and Compliance
private-cloud,private-cloud,Private Cloud
productivity-and-collaboration,productivity-and-collaboration,Productivity and Collaboration
professional-services,professional-services,Professional Services
use-cases,use-cases,Use Cases
web-and-mobile-apps,web-and-mobile-apps,Web and Mobile Apps
